Date,PM10 (ug/m3)
23-10-2017,126.72
24-10-2017,181.16
25-10-2017,123.25
26-10-2017,88.81
27-10-2017,87.96
28-10-2017,93.19
29-10-2017,99.4
30-10-2017,84.45
31-10-2017,93.16
01-11-2017,37.3
02-11-2017,47.9
03-11-2017,107.97
04-11-2017,82.29
05-11-2017,48.45
06-11-2017,34.77
07-11-2017,77.33
08-11-2017,43.96
09-11-2017,99.26
10-11-2017,52.51
11-11-2017,89.77
12-11-2017,89.59
13-11-2017,80.35
14-11-2017,79.89
15-11-2017,77.34
16-11-2017,91.61
17-11-2017,90.17
18-11-2017,65.07
19-11-2017,80.84
20-11-2017,82.87
21-11-2017,48.27
22-11-2017,56.18
23-11-2017,75.52
24-11-2017,99.08
25-11-2017,101.56
26-11-2017,87.59
27-11-2017,75.49
28-11-2017,83.85
29-11-2017,81.99
30-11-2017,49.12
01-12-2017,29.86
02-12-2017,102.78
03-12-2017,86.83
04-12-2017,117.87
05-12-2017,85.66
06-12-2017,112.73
07-12-2017,103.2
08-12-2017,128.19
09-12-2017,133.55
10-12-2017,136.95
11-12-2017,49.2
12-12-2017,25.98
13-12-2017,107.85
14-12-2017,91.34
15-12-2017,72.6
16-12-2017,101.9
17-12-2017,94.44
18-12-2017,105.18
19-12-2017,92.41
20-12-2017,90.39
21-12-2017,78.72
22-12-2017,79.01
23-12-2017,81.79
26-12-2017,89.54
27-12-2017,107.29
28-12-2017,103.41
29-12-2017,95.27
30-12-2017,88.01
31-12-2017,76.69
01-01-2018,93.04
02-01-2018,92.28
03-01-2018,84.21
04-01-2018,95.24
05-01-2018,111.5
06-01-2018,107.03
07-01-2018,101.85
08-01-2018,93.43
09-01-2018,93.42
10-01-2018,81.92
11-01-2018,80.88
12-01-2018,105.6
13-01-2018,151.16
14-01-2018,166.69
15-01-2018,146.23
16-01-2018,135.79
17-01-2018,154.32
18-01-2018,150.07
19-01-2018,134.99
20-01-2018,164.12
21-01-2018,151.63
22-01-2018,173.81
23-01-2018,191.34
24-01-2018,175.1
25-01-2018,178.78
26-01-2018,164.26
27-01-2018,194.18
28-01-2018,177.71
29-01-2018,163.81
30-01-2018,167.4
31-01-2018,161.72
01-02-2018,157.07
02-02-2018,150.8
03-02-2018,153.43
04-02-2018,140.18
05-02-2018,140.76
06-02-2018,124.07
07-02-2018,141.28
08-02-2018,133.01
09-02-2018,138.71
10-02-2018,127.22
11-02-2018,149.69
12-02-2018,132.35
13-02-2018,1.57
18-06-2018,191.28
19-06-2018,135.23
20-06-2018,108.77
21-06-2018,97.82
22-06-2018,98.36
23-06-2018,79.18
24-06-2018,109.29
25-06-2018,110.06
26-06-2018,88.93
02-07-2018,6.7
03-07-2018,1.11
07-07-2018,89.75
08-07-2018,64.76
09-07-2018,88.26
11-07-2018,80.51
12-07-2018,118.23
13-07-2018,65.91
20-07-2018,53.47
21-07-2018,125.16
22-07-2018,125.02
23-07-2018,91.75
24-07-2018,72.91
25-07-2018,68
26-07-2018,92.29
27-07-2018,101.27
28-07-2018,105.28
29-07-2018,82.93
30-07-2018,94.71
31-07-2018,99.66
01-08-2018,133.63
02-08-2018,120.76
03-08-2018,134.09
04-08-2018,164.03
05-08-2018,110.96
06-08-2018,128.91
07-08-2018,93.03
08-08-2018,69.94
09-08-2018,72.7
10-08-2018,64.74
11-08-2018,60.28
12-08-2018,38.32
13-08-2018,70.64
14-08-2018,45.72
15-08-2018,57.73
16-08-2018,49.13
17-08-2018,118.16
18-08-2018,121.4
19-08-2018,78.29
20-08-2018,142.63
21-08-2018,136.15
22-08-2018,113.77
23-08-2018,75.02
24-08-2018,92.16
25-08-2018,104.27
26-08-2018,78.12
27-08-2018,109.56
28-08-2018,93.59
29-08-2018,81.85
30-08-2018,83.87
31-08-2018,90.13
01-09-2018,131
02-09-2018,75.25
03-09-2018,132.69
04-09-2018,129.98
05-09-2018,118.51
06-09-2018,99.75
07-09-2018,96.43
08-09-2018,93.31
09-09-2018,107.75
10-09-2018,97.88
11-09-2018,122.67
12-09-2018,136.66
13-09-2018,137.19
14-09-2018,134.64
15-09-2018,78.81
16-09-2018,79.23
17-09-2018,64.28
18-09-2018,88.18
19-09-2018,98.12
20-09-2018,99.7
21-09-2018,122.62
22-09-2018,125.71
23-09-2018,149.49
24-09-2018,77.15
25-09-2018,84.35
26-09-2018,78.97
27-09-2018,108.76
28-09-2018,142.52
29-09-2018,143.79
30-09-2018,113.89
01-10-2018,141.06
02-10-2018,118.06
03-10-2018,105.72
04-10-2018,89.69
05-10-2018,72.33
06-10-2018,121.97
07-10-2018,152.53
08-10-2018,180.16
09-10-2018,158.84
10-10-2018,164.87
11-10-2018,175.7
12-10-2018,187.93
13-10-2018,222.47
14-10-2018,137.06
15-10-2018,127.32
16-10-2018,181.24
17-10-2018,93.93
18-10-2018,100.74
19-10-2018,135.76
20-10-2018,185.58
21-10-2018,213.73
22-10-2018,218.23
24-10-2018,195.34
25-10-2018,188.59
26-10-2018,189.34
27-10-2018,167.99
28-10-2018,122.7
29-10-2018,140.89
30-10-2018,147.92
31-10-2018,139.16
01-11-2018,96.02
02-11-2018,82.28
03-11-2018,104.05
04-11-2018,127.44
05-11-2018,151.7
06-11-2018,151.97
07-11-2018,162.26
08-11-2018,127.93
09-11-2018,93.85
10-11-2018,87.26
11-11-2018,101.54
12-11-2018,153.92
13-11-2018,114.98
14-11-2018,180.06
15-11-2018,144.2
16-11-2018,107.13
17-11-2018,163.24
18-11-2018,139.15
19-11-2018,103.58
20-11-2018,113.35
21-11-2018,106.46
23-11-2018,69.01
24-11-2018,154.93
25-11-2018,180.82
26-11-2018,207.01
27-11-2018,174.03
28-11-2018,154.15
29-11-2018,141.04
30-11-2018,106.96
01-12-2018,157.67
02-12-2018,119.79
03-12-2018,128.85
04-12-2018,104.44
05-12-2018,155.08
06-12-2018,135.58
07-12-2018,463.87
08-12-2018,15.1
10-12-2018,165.41
11-12-2018,330.73
12-12-2018,255.55
13-12-2018,5.84
17-12-2018,194.42
18-12-2018,161.91
19-12-2018,104.96
20-12-2018,153.77
21-12-2018,114.66
22-12-2018,123.33
23-12-2018,95.67
24-12-2018,115.33
25-12-2018,115.23
26-12-2018,119.21
27-12-2018,117.58
28-12-2018,124.93
29-12-2018,121.45
30-12-2018,97.49
31-12-2018,142.35
01-01-2019,124.06
02-01-2019,111.61
03-01-2019,108.99
04-01-2019,112.11
05-01-2019,112.68
06-01-2019,118.48
07-01-2019,129.97
08-01-2019,109.05
09-01-2019,135.65
10-01-2019,134.66
11-01-2019,151.76
12-01-2019,141.63
13-01-2019,122.74
14-01-2019,129.3
15-01-2019,107.49
16-01-2019,153.78
17-01-2019,136.57
18-01-2019,129.46
19-01-2019,110.75
21-01-2019,156.4
22-01-2019,121.19
23-01-2019,189.38
24-01-2019,138.82
25-01-2019,126.23
26-01-2019,127.24
27-01-2019,110.39
28-01-2019,106.9
29-01-2019,53.16
31-01-2019,184.99
01-02-2019,128.58
02-02-2019,219.95
03-02-2019,148.55
